No,Date,OPD,Name,Gender,Age,Bleed,Weight,PCV,WBC,"PLT
______",Creatinine,ALT,Snap4Dx,PLATELETS,HGB,RBC,MCV,MCHC,MCH,SEGS,LYMPH,MONO,PROTEIN (REFRACT),RDW,"________
(_______)","____ file
(_______)",crossmatch_result,donor_name,"PCV
donor",product,Volume,"________
(___ file _________)",PCV_target,PCV_Sucess,PCV_afterdonation,WBC_afterdoantion,"________
(_______)","____ file
(_______)"
69,18-Jul-16,59002856,บูบู้,M,0,SHIH TZU,6,8.7,24.97,3,,,,3,2.8,1.16,75,32.18,24.14,76.7,13.4,9.6,6.4,15.7,pcv 9,b59\26.txt,ผ่าน,ฝ้าย,58.8,SWB,180,,28.3,17,17,31.44,pcv 17,a59\26.txt
70,25-Jul-16,58004935,เหมียว,F,0,CROSSBREED,27,19.4,22.37,52,,,,52,6.1,3.81,50.92,31.44,16.01,75.1,14.1,5.3,6.2,20.4,PCV 20 clumping,b59\28.txt,ผ่าน,ใหญ่,52,PRC,240,,28.28888889,27.5,27.5,31.85,PCV 28,a59\28.txt
72,16-Jul-16,59002835,แจ๋น,F,0,CROSSBREED,16.3,13.6,9.81,37,,,,37,4.3,1.88,72.34,31.62,22.87,69.8,21.3,8,7,15.8,pcv 13,b59\25.txt,ผ่าน,ลูกชิด,56,SWB,300,,25.05194274,20.2,20.2,HGB,pcv 20,a59\25.txt
73,19-Oct-16,59004060,ปุ๊กกี้,F,0,CROSSBREED,5.6,13.9,41.76,162,,,,162,4.7,2.12,65.57,33.81,22.17,75,7,9,5.6,14.5,pcv 15,b59\46.txt,ผ่าน,ลูกชิด,48.9,SWB,80,,21.66190476,19.5,19.5,60.02,pcv 17,a59\46.txt
74,25-Oct-16,58004659,ลาโม,F,,CROSSBREED,11,5,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,,16.5,pcv 5,,ผ่าน,ลีวาย,53.3,SWB,250,,18.45959596,20.1,20.1,,,
75,11-Aug-16,59003242,กีต้า,M,0,CROSSBREED,24.4,10.6,14.79,2,,,,2,3.7,1.52,69.74,34.91,24.34,68.1,17.4,14.1,5,12.7,PCV 11,b59\29.txt,ผ่าน,เซเว่น,42,SWB,350,,17.29398907,17.3,17.3,11.35,PCV 17,a59\29.txt
78,23-Aug-16,59003007,เทา,M,0,CROSSBREED,37.3,16.4,13.98,544,,,,544,4.5,4.37,37.53,27.44,10.3,80.8,10.9,5.7,7.2,22.9,pcv  16,b59\34.txt,ผ่าน,ลูกตาล,59,FWB,350,,22.55132559,16.7,16.7,15.17,pcv =16,a59\34.txt
82,8-Sep-16,59003307,คุ๊กกี้,F,0,GOLDEN RETRIEVER,40.7,29.9,12.36,74,,,,15,5.4,2.34,74.79,30.86,23.08,93.5,2.1,3.8,6.8,23.7,PCV 29,b59\32.txt,ผ่าน,กุ๊กกู๋,41.3,SWB,400,,34.40996451,28.8,34.6,23.24,PCV 34,a59\32.txt
85,15-Sep-16,58002568,Yana,F,0,CROSSBREED,22,14.1,33.51,169,,,,169,4.7,2.21,63.8,33.33,21.27,86.2,5.6,7.7,6.4,15.3,PCV 14,b59\37.txt,ผ่าน,ถั่วดำ,43,SWB,300,,20.61515152,20.6,20.6,32.69,pcv 20,a59\37.txt
87,20-Sep-16,59003695,ถุงทอง,F,0,CROSSBREED,9.2,7.4,24.02,53,,,,53,1.9,0.8,92.5,25.68,23.75,51.9,33.1,14.5,4.8,29.5,PCV 7,b59\39.txt,ผ่าน,กะปิ,51.3,PRC,110,,19.35652174,21.6,21.6,19.32,pcv 21,a59\39.txt
